geographic_region,state_of_death,sex,veteran_suicides,year,suicides_point_est,gender_code,state_code,gender,state,veterans
Northeast,Connecticut,Male,30-40,2016,34.5,M,CT,M,Connecticut,3368725.0
Northeast,Connecticut,Female,<10,2016,0.0,F,CT,F,Connecticut,404875.0
Northeast,Maine,Male,20-30,2016,24.5,M,ME,M,Maine,2331524.0
Northeast,Maine,Female,<10,2016,0.0,F,ME,F,Maine,277899.0
Northeast,Massachusetts,Male,60-70,2016,64.5,M,MA,M,Massachusetts,5861102.0
Northeast,Massachusetts,Female,<10,2016,0.0,F,MA,F,Massachusetts,631871.0
Northeast,New Hampshire,Male,30-40,2016,34.5,M,NH,M,New Hampshire,2125026.0
Northeast,New Hampshire,Female,<10,2016,0.0,F,NH,F,New Hampshire,248055.0
Northeast,New Jersey,Male,60-70,2016,64.5,M,NJ,M,New Jersey,6197798.0
Northeast,New Jersey,Female,<10,2016,0.0,F,NJ,F,New Jersey,744866.0
Northeast,New York,Male,140-150,2016,144.5,M,NY,M,New York,14268845.0
Northeast,New York,Female,<10,2016,0.0,F,NY,F,New York,1767388.0
Northeast,Pennsylvania,Male,250-260,2016,254.5,M,PA,M,Pennsylvania,15688566.0
Northeast,Pennsylvania,Female,<10,2016,0.0,F,PA,F,Pennsylvania,1827404.0
Northeast,Rhode Island,Male,10-20,2016,14.5,M,RI,M,Rhode Island,1186658.0
Northeast,Rhode Island,Female,<10,2016,0.0,F,RI,F,Rhode Island,156598.0
Northeast,Vermont,Male,20-30,2016,24.5,M,VT,M,Vermont,870115.0
Northeast,Vermont,Female,<10,2016,0.0,F,VT,F,Vermont,124075.0
Midwest,Illinois,Male,150-160,2016,154.5,M,IL,M,Illinois,12305773.0
Midwest,Illinois,Female,<10,2016,0.0,F,IL,F,Illinois,1543769.0
Midwest,Indiana,Male,60-70,2016,64.5,M,IN,M,Indiana,8643588.0
Midwest,Indiana,Female,<10,2016,0.0,F,IN,F,Indiana,1048059.0
Midwest,Iowa,Male,60-70,2016,64.5,M,IA,M,Iowa,4297560.0
Midwest,Iowa,Female,<10,2016,0.0,F,IA,F,Iowa,509468.0
Midwest,Kansas,Male,50-60,2016,54.5,M,KS,M,Kansas,4372655.0
Midwest,Kansas,Female,<10,2016,0.0,F,KS,F,Kansas,666845.0
Midwest,Michigan,Male,150-160,2016,154.5,M,MI,M,Michigan,11094703.0
Midwest,Michigan,Female,<10,2016,0.0,F,MI,F,Michigan,1243921.0
Midwest,Minnesota,Male,90-100,2016,94.5,M,MN,M,Minnesota,6435074.0
Midwest,Minnesota,Female,<10,2016,0.0,F,MN,F,Minnesota,730172.0
Midwest,Missouri,Male,140-150,2016,144.5,M,MO,M,Missouri,9554844.0
Midwest,Missouri,Female,<10,2016,0.0,F,MO,F,Missouri,1223711.0
Midwest,Nebraska,Male,20-30,2016,24.5,M,NE,M,Nebraska,2737583.0
Midwest,Nebraska,Female,<10,2016,0.0,F,NE,F,Nebraska,383373.0
Midwest,North Dakota,Male,10-20,2016,14.5,M,ND,M,North Dakota,1255407.0
Midwest,North Dakota,Female,<10,2016,0.0,F,ND,F,North Dakota,185842.0
Midwest,Ohio,Male,230-240,2016,234.5,M,OH,M,Ohio,15293737.0
Midwest,Ohio,Female,<10,2016,0.0,F,OH,F,Ohio,1886068.0
